Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0241,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU16,Mumberes,-0.025,35.585,No crop,Top Soil,Moist,,4.22,19.3,22,,58.7,129.2375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0240,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU15,Mumberes,-0.022,35.582,No crop,Top Soil,Moist,,5.13,27.3,16,,56.7,157.10625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0239,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU08,Mumberes,-0.02,35.58,No crop,Top Soil,Moist,,5.13,25.3,26,,48.7,157.10625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0193,Regenerative carbon Alliance,Regenerative carbon Alliance,,M50,Mumberes,0.0568437,35.555937,No crop,Top Soil,Moist,,4.25,17.3,24,,58.7,130.15625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0194,Regenerative carbon Alliance,Regenerative carbon Alliance,,M51,Mumberes,-0.0114145,35.5717195,No crop,Top Soil,Moist,,1.22,13.3,14,,72.7,37.3625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0195,Regenerative carbon Alliance,Regenerative carbon Alliance,,M52,Mumberes,0.0402137,35.5314847,No crop,Top Soil,Moist,,3.24,15.3,26,,58.7,99.225
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0196,Regenerative carbon Alliance,Regenerative carbon Alliance,,M53,Mumberes,0.0300843,35.5233864,No crop,Top Soil,Moist,,2.85,13.3,20,,66.7,87.28125
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0197,Regenerative carbon Alliance,Regenerative carbon Alliance,,M54,Mumberes,0.0270853,35.4774931,No crop,Top Soil,Moist,,2.07,17.3,16,1.04,66.7,63.39375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0198,Regenerative carbon Alliance,Regenerative carbon Alliance,,M55,Mumberes,-0.02145,35.613964,No crop,Top Soil,Moist,,3.43,21.3,28,,50.7,105.04375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0199,Regenerative carbon Alliance,Regenerative carbon Alliance,,M56,Mumberes,-0.03606,35.537595,No crop,Top Soil,Moist,,4.42,13.3,24,,62.7,135.3625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0200,Regenerative carbon Alliance,Regenerative carbon Alliance,,M57,Mumberes,0.0412805,35.5270419,No crop,Top Soil,Moist,,4.37,19.3,28,,52.7,133.83125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0201,Regenerative carbon Alliance,Regenerative carbon Alliance,,M58,Mumberes,0.0311934,35.5112511,No crop,Top Soil,Moist,,3.81,17.3,24,,58.7,116.68125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0202,Regenerative carbon Alliance,Regenerative carbon Alliance,,M59,Mumberes,0.011879,35.526609,No crop,Top Soil,Moist,,3.91,19.3,30,,50.7,119.74375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0205,Regenerative carbon Alliance,Regenerative carbon Alliance,,M62,Mumberes,-0.025212,35.61661,No crop,Top Soil,Moist,,3.49,13.3,18,,68.7,106.88125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0236,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU9R,Mumberes,0.01539,35.61328,No crop,Top Soil,Moist,,4.26,17.3,16,,66.7,130.4625
