Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type,BD_imputed,BD_was_imputed,SOC_stock_tCha
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0104,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn05,Eor Emayian,-0.86893,35.88831,No crop,Top Soil,Moist,,3.99,23.6,35.6,,40.8,ANm,0.96625,True,115.66012500000002
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0105,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn06,Eor Emayian,-0.86893,35.88903,No crop,Top Soil,Moist,,4.79,23.6,35.6,1.06,40.8,ANm,1.06,False,152.322
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0106,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn07,Eor Emayian,-0.86839,35.89033,Potato,Top Soil,Moist,,5.26,29.6,35.6,,34.8,ANm,0.96625,True,152.47425
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0107,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn08,Eor Emayian,-0.86881,35.88975,No crop,Top Soil,Moist,,3.78,21.6,35.6,,42.8,ANm,0.96625,True,109.57275
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0108,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn09,Eor Emayian,-0.87775,35.88969,No crop,Top Soil,Moist,,2.47,19.6,25.6,,54.8,ANm,0.96625,True,71.59912500000002
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0109,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn10,Eor Emayian,-0.87739,35.88997,No crop,Top Soil,Moist,,2.62,35.6,29.6,,34.8,ANm,0.96625,True,75.94725
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0110,Regenerative carbon Alliance,Regenerative carbon Alliance,,ANn11,Eor Emayian,-0.87756,35.88953,No crop,Top Soil,Moist,,2.64,21.6,35.6,,42.8,ANm,0.96625,True,76.527
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0111,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE50,Eor Emayian,-0.85136,35.89619,Potato,Top Soil,Moist,,6.21,25.6,33.6,0.93,40.8,ANm,0.93,False,173.25900000000001
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0112,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE51,Eor Emayian,-0.83719,35.88608,Cabbage,Top Soil,Moist,,5.41,27.6,35.6,0.87,36.8,ANm,0.87,False,141.20100000000002
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0113,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE52,Eor Emayian,-0.84026,35.89593,Peas,Top Soil,Moist,,3.0,23.6,29.6,1.05,46.8,ANm,1.05,False,94.5
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0114,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE53,Eor Emayian,-0.84635,35.89275,Potato,Top Soil,Moist,,4.5,27.6,29.6,0.9,42.8,ANm,0.9,False,121.50000000000001
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0115,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE54,Eor Emayian,-0.84242,35.89262,Potato,Top Soil,Moist,,3.46,23.6,31.6,0.96,44.8,ANm,0.96,False,99.64799999999998
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0116,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE55,Eor Emayian,-0.84147,35.89258,Potato,Top Soil,Moist,,4.2,21.6,35.6,0.95,42.8,ANm,0.95,False,119.69999999999999
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0117,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE56,Eor Emayian,-0.83955,35.89432,Potato,Top Soil,Moist,,2.78,31.6,27.6,,40.8,ANm,0.96625,True,80.58525
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0118,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE57,Eor Emayian,-0.84075,35.89267,Passion fruit,Top Soil,Moist,,3.36,29.6,31.6,,38.8,ANm,0.96625,True,97.39800000000001
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0119,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE58,Eor Emayian,-0.83858,35.89262,Corn,Top Soil,Moist,,2.94,29.6,33.6,,36.8,ANm,0.96625,True,85.22325
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0120,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE59,Eor Emayian,-0.83058,35.89364,Potato,Top Soil,Moist,,4.49,23.6,35.6,,40.8,ANm,0.96625,True,130.15387500000003
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0121,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE60,Eor Emayian,-0.84248,35.89392,Potato,Top Soil,Moist,,3.3,29.6,33.6,,36.8,ANm,0.96625,True,95.65875000000001
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0122,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE61,Eor Emayian,-0.83926,35.89578,No crop,Top Soil,Moist,,3.8,25.6,33.6,,40.8,ANm,0.96625,True,110.1525
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0123,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE62,Eor Emayian,-0.84575,35.89623,Potato,Top Soil,Moist,,3.18,31.6,31.6,,36.8,ANm,0.96625,True,92.18025
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0124,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE63,Eor Emayian,-0.84235,35.89461,Cabbage,Top Soil,Moist,,4.25,29.6,37.6,,32.8,ANm,0.96625,True,123.19687500000003
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0125,Regenerative carbon Alliance,Regenerative carbon Alliance,,EE64,Eor Emayian,-0.83833,35.89381,Potato,Top Soil,Moist,,4.41,27.6,35.6,,36.8,ANm,0.96625,True,127.834875
